SchemeCode,ShortName,Category,OfficialName,Date,NAV
153364,Motilal Oswal Active Momentum,Active,Motilal Oswal Active Momentum Fund- Direct-Growth,2025-03-21,10.0149
153364,Motilal Oswal Active Momentum,Active,Motilal Oswal Active Momentum Fund- Direct-Growth,2025-03-24,9.9895
153364,Motilal Oswal Active Momentum,Active,Motilal Oswal Active Momentum Fund- Direct-Growth,2025-03-25,9.9459
153364,Motilal Oswal Active Momentum,Active,Motilal Oswal Active Momentum Fund- Direct-Growth,2025-03-26,9.8517
153364,Motilal Oswal Active Momentum,Active,Motilal Oswal Active Momentum Fund- Direct-Growth,2025-03-27,9.9433
153364,Motilal Oswal Active Momentum,Active,Motilal Oswal Active Momentum Fund- Direct-Growth,2025-03-28,9.9464
153364,Motilal Oswal Active Momentum,Active,Motilal Oswal Active Momentum Fund- Direct-Growth,2025-03-31,9.9451
153364,Motilal Oswal Active Momentum,Active,Motilal Oswal Active Momentum Fund- Direct-Growth,2025-04-01,9.6982
153364,Motilal Oswal Active Momentum,Active,Motilal Oswal Active Momentum Fund- Direct-Growth,2025-04-02,9.7625
153364,Motilal Oswal Active Momentum,Active,Motilal Oswal Active Momentum Fund- Direct-Growth,2025-04-03,9.7532
153364,Motilal Oswal Active Momentum,Active,Motilal Oswal Active Momentum Fund- Direct-Growth,2025-04-04,9.4874
153364,Motilal Oswal Active Momentum,Active,Motilal Oswal Active Momentum Fund- Direct-Growth,2025-04-07,9.0708
153364,Motilal Oswal Active Momentum,Active,Motilal Oswal Active Momentum Fund- Direct-Growth,2025-04-08,9.3234
153364,Motilal Oswal Active Momentum,Active,Motilal Oswal Active Momentum Fund- Direct-Growth,2025-04-09,9.2106
153364,Motilal Oswal Active Momentum,Active,Motilal Oswal Active Momentum Fund- Direct-Growth,2025-04-11,9.4501
153364,Motilal Oswal Active Momentum,Active,Motilal Oswal Active Momentum Fund- Direct-Growth,2025-04-15,9.7354
153364,Motilal Oswal Active Momentum,Active,Motilal Oswal Active Momentum Fund- Direct-Growth,2025-04-16,9.8159
153364,Motilal Oswal Active Momentum,Active,Motilal Oswal Active Momentum Fund- Direct-Growth,2025-04-17,9.8805
153364,Motilal Oswal Active Momentum,Active,Motilal Oswal Active Momentum Fund- Direct-Growth,2025-04-21,10.0108
