Symbol,Category,MarketCap_Cr,AsOfDate
NSE:360ONE,Mid,46654.9047296,2026-07-07
NSE:3MINDIA,Mid,39489.7031168,2026-07-07
NSE:AADHARHFC,Small,23782.391808,2026-07-07
NSE:AARTIIND,Small,17336.5231616,2026-07-07
NSE:AAVAS,Small,11921.711104,2026-07-07
NSE:ABB,Large,146841.9014656,2026-07-07
NSE:ABBOTINDIA,Mid,56629.3889024,2026-07-07
NSE:ABCAPITAL,Mid,111268.528128,2026-07-07
NSE:ABDL,Small,19140.5654016,2026-07-07
NSE:ABFRL,Small,7267.8105088,2026-07-07
NSE:ABLBL,Small,11529.3454336,2026-07-07
NSE:ABREL,Small,15514.0702208,2026-07-07
NSE:ABSLAMC,Small,33512.9018368,2026-07-07
NSE:ACC,Small,26115.5733504,2026-07-07
NSE:ACE,Small,11816.3136512,2026-07-07
NSE:ACMESOLAR,Small,25786.7022336,2026-07-07
NSE:ACUTAAS,Small,27830.4489472,2026-07-07
NSE:ADANIENSOL,Large,196866.21184,2026-07-07
NSE:ADANIENT,Large,431037.3236736,2026-07-07
NSE:ADANIGREEN,Large,251194.376192,2026-07-07
NSE:ADANIPORTS,Large,429964.8139264,2026-07-07
NSE:ADANIPOWER,Large,417880.0541696,2026-07-07
NSE:AEGISLOG,Mid,46844.4577792,2026-07-07
NSE:AEGISVOPAK,Small,30556.1894912,2026-07-07
NSE:AFCONS,Small,11393.9677184,2026-07-07
NSE:AFFLE,Small,20437.8947584,2026-07-07
NSE:AIAENG,Mid,44275.8496256,2026-07-07
NSE:AIIL,Mid,43930.4323072,2026-07-07
NSE:AJANTPHARM,Mid,41368.682496,2026-07-07
NSE:ALKEM,Mid,67721.6190464,2026-07-07
NSE:AMBER,Small,26944.5742592,2026-07-07
NSE:AMBUJACEM,Mid,108984.0807936,2026-07-07
NSE:ANANDRATHI,Small,33754.529792,2026-07-07
NSE:ANANTRAJ,Small,19397.3665792,2026-07-07
NSE:ANGELONE,Small,30566.3442944,2026-07-07
NSE:ANTHEM,Mid,43232.3067904,2026-07-07
NSE:ANURAS,Small,14408.6417408,2026-07-07
NSE:APARINDS,Mid,58067.8385664,2026-07-07
NSE:APLAPOLLO,Mid,50506.0622336,2026-07-07
NSE:APOLLOHOSP,Large,126753.3611008,2026-07-07
NSE:APOLLOTYRE,Small,29022.830592,2026-07-07
NSE:APTUS,Small,14395.2871424,2026-07-07
NSE:ARE&M,Small,15441.8495488,2026-07-07
NSE:ASAHIINDIA,Small,22232.1999872,2026-07-07
NSE:ASHOKLEY,Mid,96260.7316992,2026-07-07
