IndexName,Symbol,CompanyName,Industry,ISIN,AsOfDate
NIFTY_LARGEMIDCAP_250,NSE:360ONE,360 ONE WAM Ltd.,Financial Services,INE466L01038,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:3MINDIA,3M India Ltd.,Diversified,INE470A01017,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:ABB,ABB India Ltd.,Capital Goods,INE117A01022,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:ACC,ACC Ltd.,Construction Materials,INE012A01025,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:AIAENG,AIA Engineering Ltd.,Capital Goods,INE212H01026,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,INE702C01027,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:AUBANK,AU Small Finance Bank Ltd.,Financial Services,INE949L01017,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,INE699H01024,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:ABBOTINDIA,Abbott India Ltd.,Healthcare,INE358A01014,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:ADANIENSOL,Adani Energy Solutions Ltd.,Power,INE931S01010,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:ADANIENT,Adani Enterprises Ltd.,Metals & Mining,INE423A01024,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:ADANIGREEN,Adani Green Energy Ltd.,Power,INE364U01010,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,INE742F01042,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:ADANIPOWER,Adani Power Ltd.,Power,INE814H01029,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,INE399L01023,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,INE674K01013,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,INE031B01049,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:ALKEM,Alkem Laboratories Ltd.,Healthcare,INE540L01014,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,INE079A01024,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:ANTHEM,Anthem Biosciences Ltd.,Healthcare,INE0CZ201020,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:APARINDS,Apar Industries Ltd.,Capital Goods,INE372A01015,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,INE437A01024,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,INE438A01022,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,INE208A01029,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:ASIANPAINT,Asian Paints Ltd.,Consumer Durables,INE021A01026,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:ASTRAL,Astral Ltd.,Capital Goods,INE006I01046,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,INE406A01037,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:AIIL,Authum Investment & Infrastructure Ltd.,Financial Services,INE206F01022,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:DMART,Avenue Supermarts Ltd.,Consumer Services,INE192R01011,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:AXISBANK,Axis Bank Ltd.,Financial Services,INE238A01034,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BSE,BSE Ltd.,Financial Services,INE118H01025,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,INE917I01010,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BAJFINANCE,Bajaj Finance Ltd.,Financial Services,INE296A01032,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,INE918I01026,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,INE118A01012,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services,INE377Y01014,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,INE787D01026,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BANKBARODA,Bank of Baroda,Financial Services,INE028A01039,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BANKINDIA,Bank of India,Financial Services,INE084A01016,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:MAHABANK,Bank of Maharashtra,Financial Services,INE457A01014,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BERGEPAINT,Berger Paints India Ltd.,Consumer Durables,INE463A01038,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BDL,Bharat Dynamics Ltd.,Capital Goods,INE171Z01026,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BEL,Bharat Electronics Ltd.,Capital Goods,INE263A01024,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,INE465A01025,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,INE257A01026,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,INE029A01011,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,INE397D01024,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BHARTIHEXA,Bharti Hexacom Ltd.,Telecommunication,INE343G01021,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:GROWW,Billionbrains Garage Ventures Ltd.,Financial Services,INE0HOQ01053,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BIOCON,Biocon Ltd.,Healthcare,INE376G01013,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BLUESTARCO,Blue Star Ltd.,Consumer Durables,INE472A01039,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,INE323A01026,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,INE216A01030,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,INE067A01029,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:CRISIL,CRISIL Ltd.,Financial Services,INE007A01025,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:CANBK,Canara Bank,Financial Services,INE476A01022,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,INE121A01024,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:CIPLA,Cipla Ltd.,Healthcare,INE059A01026,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,INE522F01014,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,INE704P01025,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:COFORGE,Coforge Ltd.,Information Technology,INE591G01025,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,INE259A01022,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:CONCOR,Container Corporation of India Ltd.,Services,INE111A01025,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:COROMANDEL,Coromandel International Ltd.,Chemicals,INE169A01031,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:CUMMINSIND,Cummins India Ltd.,Capital Goods,INE298A01020,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:DLF,DLF Ltd.,Realty,INE271C01023,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,INE016A01026,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:DALBHARAT,Dalmia Bharat Ltd.,Construction Materials,INE00R701025,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:DIVISLAB,Divi's Laboratories Ltd.,Healthcare,INE361B01024,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,INE935N01020,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,INE089A01031,2026-07-15
NIFTY_LARGEMIDCAP_250,NSE:EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,INE066A01021,2026-07-15
